Population_Members,Peak_Flow (CFS),Total_Runoff_Volume (1000*CF),Total_Costs $,Social_Context_Score,MultiObjectiveRating,,
childBSBO5P6gen14,352.9145,3819.483,24676851.18,1689.212506,3.157093975,,
childJGMZ94Pgen15,352.028,3795.2487,24936898.55,1689.456226,3.147697661,,
child6IYY0JKgen10,351.892,3786.9399,24883229.03,1690.135551,3.145032068,,
childNINSINJgen11,353.833,3820.3776,24636401.85,1690.165255,3.160272285,,
childW4FVFZJgen12,353.5405,3826.7415,24476911.29,1690.165858,3.161089985,,
childQQLIJ95gen12,352.798,3830.8734,24784805.93,1690.234279,3.159885414,,
child3DUWYCBgen9,350.076,3800.4921,24834060.83,1690.776733,3.143049084,,
childBXRXAPDgen12,351.9235,3819.9798,24906159.6,1690.797679,3.154184981,,
childW0JPE11gen15,353.415,3773.3472,24653554.36,1690.797706,3.146142424,,
childWBE75Z0gen14,352.951,3811.4388,24882557.18,1690.800245,3.155085421,,
childF2YRXWVgen10,351.4285,3815.9883,24621930.19,1691.327994,3.151562009,,
childZ2B3ZNYgen12,352.3705,3814.8093,24841693.74,1691.382276,3.154206385,,
child333OLNTgen11,352.1685,3802.7088,24956159.61,1691.524588,3.150272776,,
childA4YNCXCgen12,351.8765,3806.2125,24837272.15,1691.688787,3.1503185,,
child1A8AXCGgen12,353.7255,3799.8657,24874822.3,1692.244952,3.154428506,,
childB0KK6JSgen10,350.6285,3789.8784,24714965.14,1692.450274,3.141966282,,
childT3BBFNRgen12,352.7345,3808.7991,24960531.28,1692.563352,3.153764923,,
childC1YJMN3gen11,350.631,3813.7203,24866576.68,1692.774119,3.148500333,,
childRZ8G42Igen14,349.9065,3807.522,24909915.08,1693.120821,3.144544105,,
childQOF6ABGgen15,352.618,3797.9109,24675261.34,1693.141369,3.150451564,,
child0MAAZQ7gen12,348.8555,3777.9912,24957283.73,1693.437331,3.133187118,,
childMN08H6Sgen13,352.4735,3804.6159,24918439.24,1693.607203,3.151849603,,
childTH0C0WZgen15,353.0265,3793.9968,24771189.09,1693.750107,3.150696073,,
childPKXDTW1gen19,355.1585,3791.3562,24805524.06,1694.312503,3.156708939,,
childHUCL4PMgen13,353.6485,3796.3269,24864566.7,1695.026007,3.153348481,,
childW2BW1XIgen18,358.4715,3810.1833,24359238.06,1695.056782,3.172308853,,
childSYXNNKTgen12,352.3695,3808.9737,24612168.77,1695.317551,3.152791636,,
child33XM3ABgen12,352.17,3812.4036,24849913.29,1695.666993,3.153116814,,
childRCKEY5Sgen18,358.005,3809.6334,24888051.9,1695.781103,3.170724426,,
